id,topic_code,subtopic_code,normalization_note
296,social,social_cooperation,集体前行的协作目标明确
512,social,social_cooperation,双人同步攀爬以合作任务为主
823,social,social_cooperation,团队传递的核心是依次配合
824,social,social_cooperation,团队传球协作优先于手部灵活
825,social,social_cooperation,多人分段完成共同作品
832,social,social_cooperation,综合运动会以团队参与和兴趣激发为主
839,social,social_communication,核心是同伴了解与自我表达
875,social,social_cooperation,分队寻物以共同参与为主；山坡安全保留复核
876,social,social_cooperation,团队隐蔽移动和辨认对手；复杂地形安全复核
877,social,social_cooperation,队伍追逐和策略协作；对抗安全复核
878,social,social_cooperation,营地协作与规则协商；夜间玩法安全复核
883,social,social_cooperation,协同对抗与力量因素并存；背负拉拽安全复核
939,social,social_cooperation,连队绕杆以整体协调移动为主
940,social,social_cooperation,多人协同奔跑的团队目标清楚
948,social,social_cooperation,合作搬运为核心；专业复核保留
953,social,social_cooperation,绑腿接力以双人协同完成
965,social,social_cooperation,合作负重行走；专业复核保留
967,social,social_cooperation,伙伴步调同步是主目标
970,social,social_cooperation,双人同步与平衡共同完成
980,social,social_cooperation,多人维持队形并移动
984,social,social_cooperation,多人节奏配合为主
986,social,social_communication,指令沟通合作为主；安全复核保留
988,social,social_cooperation,多人同步与队形控制
996,social,social_cooperation,双人同步合作为主
997,social,social_cooperation,双人步长步频协调
1021,social,social_cooperation,双人同步步伐为主；绑缚安全复核
1025,social,social_cooperation,全组保持连接同步移动
1035,social,social_cooperation,双人协作控制夹球横移
1123,emotion,emotion_regulation,放松中的观察跟随归入情绪调节
1126,emotion,emotion_regulation,放松和情绪表达传递为主
1133,social,social_cooperation,多人同步行进
1134,social,social_cooperation,绑腿接力的协同步调
1143,social,social_cooperation,共同过河兼含空间规划
1144,social,social_cooperation,自然环境团队协作游戏
1229,social,social_cooperation,双人同步移动
1235,social,social_cooperation,协作侧移和身体稳定并重
1237,social,social_cooperation,保护队形是游戏独特目标
1258,social,social_cooperation,双人抛接协作与节奏
1274,social,social_cooperation,接力协作是核心；跑步为载体
1374,social,social_cooperation,围圈传球合作和轮换规则
1388,family,family_feedback,规范家长反馈顺序和边界
1397,family,family_feedback,阶段沟通并避免横向比较
1433,family,family_feedback,风险事件后的事实沟通
1607,family,family_practice,家庭训练执行与记录为主；评分口径复核
1624,family,family_parenting,家庭屏幕规则与睡前作息
1625,family,family_parenting,家庭媒体选择和亲子共看
1628,emotion,emotion_regulation,激烈情绪时的命名与共同调节
1631,emotion,emotion_regulation,冲突后陪伴降温；固定时长复核
1635,social,social_conflict,争抢中的协商和最小支持
1637,emotion,emotion_relationship,回应安静儿童未表达的需求
1638,emotion,emotion_regulation,情绪词汇和身体感受表达
1639,emotion,emotion_regulation,理解情绪信息并转为行动
1643,emotion,emotion_confidence,自主选择和安全试错
1645,emotion,emotion_confidence,保护兴趣并缓解表现压力
1646,emotion,emotion_confidence,恢复偏好表达效能
1649,emotion,emotion_confidence,恢复坚持所需的能力信念
1650,family,family_parenting,家庭环境改造保护专注
1653,family,family_parenting,排查家庭微打断并建立单任务习惯
1654,emotion,emotion_confidence,减少否定标签以恢复尝试信心
1655,emotion,emotion_anxiety,赛前唤醒和焦虑调节
1659,emotion,emotion_regulation,挑战后的压力恢复
1660,emotion,emotion_regulation,高压儿童的课堂稳定和支持
1661,emotion,emotion_anxiety,考试焦虑的轻运动支持
1666,emotion,emotion_confidence,修复运动体验和参与意愿
1671,emotion,emotion_relationship,渐进接触建立关系安全
1672,social,social_conflict,识别受损并支持求助和边界表达
1673,emotion,emotion_confidence,降低试错成本支持尝试
1674,emotion,emotion_regulation,非语言和间接情绪表达
1676,social,social_cooperation,协商招募和同伴接纳
1681,social,social_inclusion,低压力建立同伴连接
1682,social,social_conflict,按能力分级提供冲突支持
1683,social,social_communication,具体感谢和亲社会回应
1685,emotion,emotion_frustration,失败后恢复挑战信心
1686,emotion,emotion_regulation,接纳多样情绪并支持低落
1688,family,family_practice,家庭日常互动支持早期发展
1690,family,family_parenting,家庭电子设备规则一致执行
1692,social,social_conflict,识别不当要求并练习拒绝
1693,family,family_expectations,以个人进步替代比较焦虑
1695,family,family_parenting,父亲参与亲子运动
1696,emotion,emotion_confidence,降低新任务失败门槛
1709,emotion,emotion_regulation,识别发脾气背后的需求
1710,emotion,emotion_anxiety,发展性恐惧的渐进支持
1711,family,family_parenting,小任务恢复独立行动
1712,family,family_parenting,减少催促代劳并保留练习
1715,social,social_communication,把命令转为请求表达
1716,emotion,emotion_relationship,连接需求与独立支持并行
1717,social,social_inclusion,利用混龄模仿促进独立参与
1718,emotion,emotion_regulation,用可预测秩序支持变化适应
1730,family,family_practice,家庭结构培养户外运动习惯
1737,family,family_parenting,专属陪伴满足连接需求
1740,assessment,assessment_observation,通过游戏观察儿童表达和发展
1742,assessment,assessment_observation,解读故事中的经验能力和情绪
1743,emotion,emotion_anxiety,游戏中的恐惧加工与安全支持
1744,emotion,emotion_frustration,改造淘汰结构以支持挫败调节
1747,family,family_parenting,识别家庭氛围并守住教练边界
1748,family,family_parenting,亲子对抗转为合作互动
1749,family,family_parenting,接送时刻建立亲子联结
1750,family,family_parenting,用行为描述替代人格标签
1753,emotion,emotion_frustration,调节输赢情绪并建立个人坐标
1755,emotion,emotion_confidence,降低失败风险恢复练习投入
1756,emotion,emotion_confidence,用可完成任务重建自我评价
1758,family,family_parenting,理解家庭排行并避免套用标签
1759,emotion,emotion_anxiety,新环境适应与安全锚点
1761,family,family_parenting,病后阶梯恢复独立能力
1763,emotion,emotion_confidence,以自身进步建立价值感
1767,family,family_practice,日常生活经验支持发展
1769,family,family_parenting,家庭对话支持语言发展
1770,social,social_inclusion,区分慢热与隔离并恢复互动
1771,social,social_cooperation,同伴互动促进共同学习
1773,social,social_cooperation,结构化混龄互助
1778,family,family_parenting,将冲突焦点转向互动模式
1780,family,family_expectations,家长高期待下保护儿童主体性
1781,family,family_expectations,区分家长遗憾与孩子愿望
1782,family,family_parenting,识别控制并支持自主
1783,family,family_parenting,修复吼叫造成的关系伤害
1784,emotion,emotion_relationship,无条件接纳与行为边界并行
1795,emotion,emotion_confidence,微任务积累真实胜任体验
1796,emotion,emotion_frustration,按阶段处理输后情绪
1797,emotion,emotion_frustration,降低失败成本并恢复参与
1798,emotion,emotion_regulation,被拒绝后的即时情绪安顿
1799,emotion,emotion_regulation,受挫后先恢复状态再复盘
1800,social,social_inclusion,渐进重建社交尝试
1801,social,social_communication,用脚本和角色加入游戏
1802,social,social_inclusion,配对示范搭桥建立关系
1804,emotion,emotion_regulation,先安顿情绪再守行为边界
1808,social,social_conflict,物权边界和分享规则
1817,emotion,emotion_regulation,解释情绪功能并配合调节
1818,emotion,emotion_regulation,识别身体线索并命名情绪
1819,emotion,emotion_regulation,记录和回看情绪触发模式
1820,emotion,emotion_regulation,识别接受归因和行动流程
1821,emotion,emotion_regulation,平复后表达感受原因和需求
1822,social,social_conflict,冲突双方表达需求并协商
1825,family,family_feedback,通过纵向提问采集家庭信息
1830,emotion,emotion_regulation,节奏运动用于压力调节
1831,emotion,emotion_regulation,短时游戏化呼吸支持平复
1833,family,family_practice,家庭运动承接屏幕需求
1834,social,social_cooperation,保护与攀爬角色的信任责任
1835,emotion,emotion_regulation,数字量表支持状态觉察
1837,social,social_inclusion,固定舞步换伴降低社交不确定
1840,family,family_practice,低门槛亲子协同运动
1847,family,family_practice,家庭有氧运动计划；频率时长复核
1849,emotion,emotion_regulation,颜色作为幼儿情绪表达桥梁
