id,topic_code,subtopic_code,normalization_note
429,teaching,teaching_games,以动物情境与目标线激励组织跳远练习；分层间距保留为教学描述
526,assessment,assessment_fitness,以30米计时和预设标准评估速度素质
531,assessment,assessment_fitness,按多个短跑距离开展全力测验
813,assessment,assessment_fitness,问卷服务体适能测试；具体题项与视觉对应仍待核对
814,assessment,assessment_protocol,RPE作为主观负荷评估指标暂并测试流程与指标解读；建议集中评估增补运动强度监测细分；保留专业复核
815,assessment,assessment_skill,按八级标准核验跳绳技能掌握
816,assessment,assessment_skill,按进阶阶梯核验篮球技术
817,assessment,assessment_retest,感觉表现的训练前基线及月度复评；维持待复核及专业复核
909,sport,sport_combat,已阅读全文；由安全防护调整为专项运动技能；目标和计分流程均围绕对抗解脱及攻防技能；绊摔规则与适龄保护仍需专业复核
910,sport,sport_combat,已阅读全文；由安全防护调整为专项运动技能；抓肩控制与挣脱计分训练防身解脱技能；原文角色表述重复及适龄保护边界提交集中复核
1121,teaching,teaching_games,球名替代报数及模仿带领属于游戏化教学形式
1125,safety,safety_load,保留既有闭眼旋转后投篮的动作风险审阅主旨；待专业复核后再判断是否恢复专项技能主类
1187,teaching,teaching_games,综合实操游戏合集归游戏设计；具体游戏与视觉对应仍待核对
1383,teaching,teaching_framework,ACE动作认知参与三维构成教学观察框架
1384,teaching,teaching_framework,参与理解动作的判断顺序属于通用教学框架
1385,teaching,teaching_feedback,按目标卡点调整和课后反馈形成观察反馈闭环
1386,assessment,assessment_observation,观察ACE课堂信号并联系现场调整
1387,assessment,assessment_observation,以多维课堂证据拆分问题及避免标签化归因
1389,safety,safety_referral,守住诊断暗示和结果承诺的专业解释边界
1396,teaching,teaching_progression,按发展阶段和学员状态匹配教学要求
1402,teaching,teaching_progression,降低多任务复杂度并逐步提高要求；感觉统合作为应用背景
1404,safety,safety_referral,课堂事实反馈及医疗康复心理诊断和转介边界
1408,teaching,teaching_design,备考阶段目标瓶颈训练安排及复测组成课程计划
1412,teaching,teaching_framework,通过四问辨识课程主目标及能力匹配
1413,assessment,assessment_protocol,限定单次结果解释范围并形成可执行建议
1414,assessment,assessment_protocol,整合体测课堂观察及复评三类证据；保留原有推断质量复核
1415,assessment,assessment_protocol,五问用于解读优势短板及评估输出优先级
1416,assessment,assessment_fitness,首次体测建立能力基线并观察风险及紧张影响
1417,assessment,assessment_retest,比较数据和课堂趋势后确定下一阶段重点
1418,assessment,assessment_observation,多维课堂观察补充体测解释；保留原有专业复核
1419,assessment,assessment_protocol,沟通模板承载测评结果解释与行动输出；家庭建议为评估延伸
1420,teaching,teaching_framework,以学员行为变化为成效标准的通用教学原则
1421,teaching,teaching_design,五段课程结构及热身主体应用环节衔接
1422,teaching,teaching_instruction,简短可理解指令及固定口令表达顺序
1423,teaching,teaching_feedback,示范服务于动作观察和纠错优先级；保留损伤断言专业复核
1424,classroom,classroom_behavior,用过程鼓励和竞争规则维持课堂投入与秩序
1425,classroom,classroom_participation,依据整体状态决定统一推进与个别掉队支持
1426,teaching,teaching_framework,综合修正讲解纠错规则和结构方面的教学误区
1427,safety,safety_response,安全基本原则以异常发生后的人员处置优先级为核心
1428,safety,safety_environment,课前课中识别风险并配置保护人员与继续条件
1429,safety,safety_environment,识别动作状态环境和人员风险；停止升级为配套处理
1430,safety,safety_response,异常事件的现场处置通知与记录顺序
1431,safety,safety_environment,课前检查统一规则保护位与降阶预防
1432,safety,safety_response,急救权限基础处置与升级处理边界；保留专业复核
1434,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；正文以人数场地及单排站位选择为主；维持视觉对应待复核
1435,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；平行队形的人数场地及教师中心站位是主旨；维持视觉对应待复核
1436,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；梯形队列的适用范围及等距站位是主旨；维持视觉对应待复核
1437,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；U形队列与教师视线覆盖是主旨；摘录后段截断及视觉对应仍待复核
1438,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；共享正文充分支持队形空间组织方向；圆形独立说明缺失及视觉对应仍待复核
1439,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；共享正文充分支持队形空间组织方向；错位独立说明缺失及视觉对应仍待复核
1440,teaching,teaching_design,标准教案的板块顺序时长与字段；模板并存问题继续保留
1441,teaching,teaching_design,课程信息头及主目标字段服务教案结构设计
1442,teaching,teaching_games,以年龄适配情境叙事承载口令与闯关任务
1443,teaching,teaching_feedback,课末具体点评表扬与收束反馈
1444,teaching,teaching_design,次数时间组数休息及RPE构成课程负荷设计；保留适龄与参数专业复核
1445,teaching,teaching_progression,按年龄和课程分层设置品格目标并落实行为
1446,teaching,teaching_framework,示范纠错指令及进退阶组成通用教学方法组合
1448,classroom,classroom_grouping,已阅读全文；由教学设计调整为课堂组织；方阵适用人数学情及教师站位构成空间组织内容；维持视觉对应待复核
1609,safety,safety_load,力量训练禁忌概要暂并动作负荷与损伤预防；具体禁忌缺失仍待补文和专业复核
1610,safety,safety_referral,足踝恢复操作的适用资质及转介边界；具体操作缺失继续待复核
1611,safety,safety_referral,损伤康复使用权限及转介边界；处理部位和步骤缺失继续待复核
1612,safety,safety_referral,运动病症的医疗识别与转介权限；病症细节继续待复核
1614,safety,safety_response,现场急救材料的使用边界；具体损伤和处置步骤仍待专业复核
1615,safety,safety_environment,低龄监护视线与器械间距预防碰撞；适龄负荷继续复核
1616,safety,safety_environment,跳跃器械稳固软垫和落地区检查；高度及保护标准继续复核
1617,safety,safety_load,负重和投掷器械的负荷及损伤预防；低龄剂量继续专业复核
1618,safety,safety_environment,追逐对抗的路径范围人数及碰撞预防
1619,safety,safety_load,感觉训练中过度负荷信号及停止条件；疗效数字与剂量继续专业复核
1620,teaching,teaching_feedback,具体过程描述与表扬反馈；行为结果推断继续复核
1622,teaching,teaching_games,将动作目标嵌入故事与角色扮演情境
1623,teaching,teaching_progression,按个体气质设置不同参与入口与台阶；气质固定性解释继续复核
1626,classroom,classroom_rules,少量适龄规则及一致纠正和相关后果
1627,classroom,classroom_behavior,共情和有限选择支持稳定行为边界；危险等待案例继续复核
1629,classroom,classroom_behavior,通过相关后果及共同修复支持错误后的行为学习
1630,classroom,classroom_transitions,路线角色物料预置及环节转换预告
1632,coach,coach_wellbeing,教练课中烦躁的自我调节与压力支持
1633,classroom,classroom_participation,通过短指令等待窗口与可视时间支持慢节奏学员参与
1634,teaching,teaching_instruction,多语言课堂以手势图卡和示范支持指令理解
1640,coach,coach_reflection,记录个人成长经历触发的课堂过度反应并自省
1641,coach,coach_wellbeing,教练职业耗竭预防及日常恢复边界
1642,coach,coach_wellbeing,教练下班手机使用自控与作息恢复
1644,classroom,classroom_rules,低规则经验儿童的一致边界与相关后果学习
1651,teaching,teaching_design,长任务分段验收及间隔复习安排
1652,teaching,teaching_design,将间隔提取和复习点纳入课程安排
1658,classroom,classroom_rules,姿态仪式建立课堂准备常规；姿态与能力因果推断继续复核
1662,assessment,assessment_observation,跨任务时段环境记录投入行为；诊断边界和干预建议继续复核
1664,teaching,teaching_design,有氧技巧和综合游戏的课程内容组合
1668,teaching,teaching_design,强度恢复与精细学习的课内时序设计
1675,classroom,classroom_behavior,用明确角色权责支持主导和对抗行为；加练惩罚内容继续复核
1677,classroom,classroom_participation,轮换展示职责并公平分配关注以支持课堂参与
1678,assessment,assessment_observation,动态记录具体行为以校正性格类型判断
1680,classroom,classroom_behavior,以有限选择和接纳合理反对回应口头反抗
1684,classroom,classroom_behavior,制止越界接纳情绪并教授替代行为；安全边界继续复核
1689,teaching,teaching_feedback,真实具体适量的描述性表扬与反馈自查
1691,classroom,classroom_behavior,诚实表达的支持及说谎后的修复行为
1694,coach,coach_reflection,觉察教练自身期待投射并区分学员目标
1698,teaching,teaching_instruction,教练言行榜样与隐性示范归指令与示范；心理机制继续复核
1699,classroom,classroom_rules,极简规则框架内支持自主探索
1700,classroom,classroom_rules,按规则掌握程度渐进扩大自主活动及回退
1701,teaching,teaching_framework,观察练习质量并决定保留自主重复与介入时机
1702,teaching,teaching_feedback,调整反馈时机并采用完成后复盘
1706,classroom,classroom_behavior,结合时段与状态理解和支持行为波动；意志力机制继续复核
1707,classroom,classroom_behavior,通过自然后果与参与修复处理错误行为
1708,teaching,teaching_framework,围绕动机调整奖惩教学结构；长期效应断言继续复核
1713,teaching,teaching_instruction,教练动作语言与情绪的榜样示范管理
1714,teaching,teaching_instruction,开放式回应和引导提问的教学表达方法
1721,teaching,teaching_instruction,将语言学习特点落实为短指令直观展示和示范
1726,classroom,classroom_behavior,提前约定和有限选择支持成人儿童合作
1727,classroom,classroom_behavior,以可执行替代行为开展正向引导并保留安全边界
1728,safety,safety_lifestyle,进食自主与一般喂养建议；营养处方和转介边界继续专业复核
1729,teaching,teaching_design,通过器材数量轮换与选择安排支持深入活动
1731,safety,safety_lifestyle,睡眠规律时长与课堂状态的健康建议边界
1733,teaching,teaching_progression,控制单一变量并递进呈现颜色形状概念
1734,teaching,teaching_framework,先观察兴趣能力再适度介入的自主学习方法
1735,teaching,teaching_instruction,新教具与动作的分解示范呈现
1736,classroom,classroom_grouping,儿童可移动家具与可及环境暂并空间组织；建议评估增补环境可及性与独立流程细分
1738,classroom,classroom_grouping,按儿童尺寸能力设计课堂环境暂并空间组织；与1736共同提交环境可及性细分评估
1739,teaching,teaching_games,以发展目标设计游戏化学习并解释活动价值
1741,classroom,classroom_rules,角色情境用于支持规则内化及遵守
1745,teaching,teaching_instruction,用具体观察式提问引导儿童表达游戏想法
1751,coach,coach_ethics,教练发火后承认责任弥补关系及维护角色边界
1752,assessment,assessment_observation,结合目标情境及行为模式形成多情境观察
1754,classroom,classroom_behavior,识别作弊动机并教授合乎规则的获胜行为
1760,assessment,assessment_retest,用多维成长趋势记录解释成绩波动
