id,topic_code,subtopic_code,normalization_note
432,speed,speed_chase,单脚跳为移动形式；按捕捉与躲避对抗归并。
461,speed,speed_chase,猜拳触发追逃；按追逐主任务归并。
465,speed,speed_reaction,根据移动绳索判断起跳时机。
499,speed,speed_reaction,听编号选择启动为关键触发；兼含抢旗追逃。
527,speed,speed_frequency,俯卧撑转摆臂强调整组动作速度；并入快速协调，建议细分类涵盖一般动作速度。
529,speed,speed_sprint,信号后转体衔接起跑加速。
532,speed,speed_frequency,循环摆腿与快速扒地提高步频。
534,speed,speed_frequency,持铃高抬腿突出快速交替；保留负重适龄复核。
535,speed,speed_agility,持物短距折返突出转向与再加速。
536,speed,speed_sprint,负重坡道冲刺按跑速目标归并；保留专业复核。
537,speed,speed_reaction,信号触发倒退急停转前跑。
540,speed,speed_sprint,从蹲踞姿势听令快速起跑。
542,speed,speed_reaction,赶在竿倒前到位体现时机反应。
543,speed,speed_frequency,扶撑下快速后蹬训练动作频率。
544,speed,speed_sprint,俯撑启动衔接后蹬与冲刺。
545,speed,speed_frequency,限时快速高抬腿计数；保留负重专业复核。
549,speed,speed_sprint,原地高抬腿后听令起动跑出。
550,speed,speed_frequency,限时高抬腿跳绳计数突出快速协调。
551,speed,speed_sprint,固定步数约束加速跑的步幅与速度。
552,speed,speed_sprint,快速起跑衔接后蹬和冲刺。
553,speed,speed_frequency,明确提高步频并加大步长；保留负重衔接复核。
554,speed,speed_sprint,逐级加速至最高跑速。
555,speed,speed_sprint,推掷衔接加速跑按整体速度链归并。
558,speed,speed_frequency,快速摆腿传沙袋并入快速协调；一般动作速度范围需集中复核。
559,speed,speed_frequency,快节奏步法和跨跳衔接最快跑速。
560,speed,speed_frequency,整组快速撑起转摆臂并入快速协调；建议涵盖一般动作速度。
561,speed,speed_frequency,弓步快速交换腿突出交替频率。
562,speed,speed_frequency,连续快速挥臂击球突出动作频率。
563,speed,speed_frequency,连续拍击反弹球突出快速挥臂协调。
564,speed,speed_sprint,短距启动即发挥最大跑速；按起跑加速类承接最高速度练习。
565,speed,speed_sprint,绑腿负重加速跑；保留专业复核。
566,speed,speed_frequency,限时快速高抬腿计数；保留负重适龄复核。
567,speed,speed_frequency,连续快速出手并入快速协调；建议涵盖一般动作速度。
569,speed,speed_frequency,快速起跳并入快速协调；目录缺单次动作速度细分，保留头部触球专业复核。
570,speed,speed_sprint,弓步后听信号快速起动。
571,speed,speed_sprint,起跑接后蹬与冲刺构成加速链。
573,speed,speed_frequency,快速起跳转体并入快速协调；目录缺单次动作速度细分，转体目标未涉及感觉调节。
574,speed,speed_sprint,牵引辅助全速跑；保留牵引失控风险复核。
575,speed,speed_sprint,牵引上坡与下坡加速组合；保留专业复核。
576,speed,speed_sprint,前滚翻后快速衔接起跑；滚翻为准备体位转换。
577,speed,speed_frequency,弹力阻力下快速屈伸小腿。
578,speed,speed_frequency,限时最快频率出拳；保留沙袋击打防护复核。
579,speed,speed_chase,让距接力以速度差组织追赶竞跑。
580,speed,speed_sprint,全文上坡下坡全速跑组合；保留专业复核。
581,speed,speed_reaction,球落地前再抓握体现短时反应。
582,speed,speed_frequency,双脚交替快速扒地训练频率。
