id,topic_code,subtopic_code,normalization_note
203,strength,strength_shoulder,肩胛胸廓稳定
204,strength,strength_shoulder,肩带肌群激活与稳定
205,strength,strength_shoulder,W形后拉的肩胛控制
206,strength,strength_shoulder,俯身T形肩胛稳定
207,strength,strength_shoulder,抗阻上举的肩胛控制
208,strength,strength_shoulder,W形肩带稳定
209,strength,strength_shoulder,直臂承重肩胛前伸后缩
210,strength,strength_upper,肩部与上背抗阻力量；上肢推拉类暂涵盖外展力量
211,strength,strength_upper,斜向抗阻外展力量；上肢推拉类暂涵盖外展力量
212,strength,strength_shoulder,抗阻W形肩带稳定
213,strength,strength_shoulder,肩胛胸廓稳定
214,strength,strength_shoulder,俯身抗阻肩胛激活
215,strength,strength_shoulder,肩胛后缩控制
216,strength,strength_shoulder,跪撑抬臂的肩胛稳定
217,strength,strength_shoulder,肩胛后缩上举稳定
218,strength,strength_lower,髋外展力量与骨盆稳定
219,strength,strength_lower,髋外旋开膝力量
220,strength,strength_lower,双侧髋外旋力量
221,strength,strength_lower,侧向带阻行走强化髋外展肌
222,strength,strength_lower,带阻行走的髋肌力量目标
223,strength,strength_lower,深蹲下肢力量与髋膝稳定
228,strength,strength_lower,侧卧髋外展力量
229,strength,strength_lower,臀肌发力维持骨盆水平
236,strength,strength_lower,平衡垫为训练条件；主目标为髋外展力量
237,strength,strength_shoulder,肩胛收紧保持
238,strength,strength_shoulder,T形抬臂肩胛稳定
239,strength,strength_shoulder,Y形抬臂肩带控制
240,strength,strength_shoulder,球上I形肩带稳定
241,strength,strength_shoulder,球上T形肩胛控制
242,strength,strength_shoulder,球上Y形肩胛稳定
243,strength,strength_shoulder,球上W形肩带稳定
244,strength,strength_shoulder,肩外旋与肩胛稳定
245,strength,strength_core,暂按推球前移时核心抗伸展归并；支撑姿势描述待核
246,strength,strength_upper,球上俯卧撑推力
247,strength,strength_core,暂按侧向滚球时躯干骨盆抗侧倾归并；肩胛和平衡主次待核
248,strength,strength_shoulder,站姿I形肩胛控制
249,strength,strength_shoulder,站姿Y形肩胛稳定
250,strength,strength_shoulder,站姿T形肩带稳定
251,strength,strength_shoulder,站姿W形肩胛稳定
252,strength,strength_shoulder,肩外旋与肩胛稳定
253,strength,strength_core,跪撑减支点抗旋转
254,strength,strength_core,伸腿时腰盆稳定
255,strength,strength_core,对侧手脚伸展抗旋转
256,strength,strength_upper,反复屈伸臂推起身体
257,strength,strength_core,单腿平板抗旋转
258,strength,strength_core,单手平板抗旋转
259,strength,strength_core,对侧两点支撑抗旋转及抗伸展
260,strength,strength_core,肘脚支撑等长保持
261,strength,strength_core,俯桥抬腿躯干稳定
262,strength,strength_core,俯桥抬手躯干稳定
263,strength,strength_core,俯桥对侧伸展抗旋转
264,strength,strength_core,支撑收腹与核心稳定
265,strength,strength_core,球上对侧伸展腰盆稳定
266,strength,strength_core,屈膝侧撑抗侧屈
267,strength,strength_core,分腿侧撑抗侧屈
268,strength,strength_core,侧桥躯干稳定
269,strength,strength_core,并腿侧桥抗侧屈
270,strength,strength_core,卷腹屈曲力量
271,strength,strength_core,旋转发力与腰盆稳定
272,strength,strength_lower,臀肌主动伸髋力量
273,strength,strength_lower,单侧臀肌伸髋与骨盆稳定
274,strength,strength_lower,交替抬腿时支撑侧臀肌力量
275,strength,strength_lower,抗带臀桥伸髋力量
276,strength,strength_lower,夹球附加任务下的臀肌伸髋
277,strength,strength_core,屈髋卷起骨盆的腹肌力量
278,strength,strength_core,暂按转髋躯干旋转控制归并；与活动度的目标主次待核
279,strength,strength_lower,臀肌与下肢后侧链力量
280,strength,strength_lower,球上单腿臀肌力量
281,strength,strength_lower,交替单侧伸髋稳定
282,strength,strength_lower,直膝髋外展抗阻
283,strength,strength_lower,屈膝髋外展外旋力量
284,strength,strength_lower,迷你带髋外展力量
285,strength,strength_lower,迷你带髋外展外旋力量
286,strength,strength_lower,跪撑臀肌伸髋力量
287,strength,strength_lower,跪撑髋外展力量
288,strength,strength_lower,球上交替伸髋力量
289,strength,strength_lower,球上双侧臀肌伸髋力量
290,strength,strength_upper,墙面推撑力量
291,strength,strength_core,仰撑举腿时腰盆稳定
294,strength,strength_upper,主体为反复屈伸臂推撑；静态俯桥为变式
295,strength,strength_core,俯撑伸手取物抗旋转
297,strength,strength_core,侧桥抗侧屈；保留原专业复核标记
298,strength,strength_core,侧撑触脚的腰盆抗侧屈；肩带承重为辅助
301,strength,strength_core,暂按桥式腰盆保持归并；后伸柔韧与力量目标待核
302,strength,strength_upper,手臂承重拖动身体前进
